Element,Line,Type,Energy
Co,Lb3,Sum Peak (2x),1730.4
Ni,Lb1,Sum Peak (2x),1732.0
Co,Lb4,Sum Peak (2x),1732.4
Sn,La2,Escape Peak (Si),1735.8000000000002
Si,Ka2,Emission Line,1739.2
Si,Ka1,Emission Line,1739.8
Sn,La1,Escape Peak (Si),1744.1
Rb,Lb1,Emission Line,1751.0
In,Lb1,Escape Peak (Si),1786.6
Sr,La2,Emission Line,1804.0
Sr,La1,Emission Line,1805.8
Rb,Lb4,Emission Line,1816.3
Rb,Lb3,Emission Line,1825.9
In,Lb4,Escape Peak (Si),1834.8000000000002
Si,Kb1,Emission Line,1837.0
Si,Kb3,Emission Line,1837.0
Cu,La1,Sum Peak (2x),1855.4
Cu,La2,Sum Peak (2x),1855.4
Sr,Lb1,Emission Line,1871.0
In,Lb3,Escape Peak (Si),1872.6999999999998
Ni,Lb4,Sum Peak (2x),1881.2
Ni,Lb3,Sum Peak (2x),1884.8
K,Kb3,Escape Peak (Si),1890.1
K,Kb1,Escape Peak (Si),1890.1
Sb,La2,Escape Peak (Si),1894.5
Cu,Lb1,Sum Peak (2x),1894.6
Ca,Ka3,Escape Peak (Si),1900.1
Sb,La1,Escape Peak (Si),1903.8000000000002
Y,La2,Emission Line,1922.3
Y,La1,Emission Line,1924.2
Sr,Lb4,Emission Line,1935.7
Sr,Lb3,Emission Line,1946.0
P,Ka3,Emission Line,1956.5
Sn,Lb1,Escape Peak (Si),1962.8000000000002
Ca,Ka2,Escape Peak (Si),1988.8000000000002
Ca,Ka1,Escape Peak (Si),1992.3000000000002
Y,Lb1,Emission Line,1998.3
Sn,Lb4,Escape Peak (Si),2008.5
P,Ka2,Emission Line,2009.5
P,Ka1,Emission Line,2010.5
Na,Ka3,Sum Peak (2x),2014.6
Zn,La2,Sum Peak (2x),2023.2
Zn,La1,Sum Peak (2x),2023.4
Cu,Lb4,Sum Peak (2x),2038.8
Zr,La2,Emission Line,2041.9
Cu,Lb3,Sum Peak (2x),2043.2
Zr,La1,Emission Line,2044.2
Sn,Lb3,Escape Peak (Si),2050.4
Te,La2,Escape Peak (Si),2057.6
Y,Lb4,Emission Line,2062.4
Te,La1,Escape Peak (Si),2068.0
Zn,Lb1,Sum Peak (2x),2069.4
Y,Lb3,Emission Line,2074.2
Na,Ka1,Sum Peak (2x),2080.6
Na,Ka2,Sum Peak (2x),2080.8
Zr,Lb1,Emission Line,2125.9
P,Kb3,Emission Line,2138.5
P,Kb1,Emission Line,2139.5
Sb,Lb1,Escape Peak (Si),2142.5
Nb,La2,Emission Line,2166.0
Nb,La1,Emission Line,2168.7
Sb,Lb4,Escape Peak (Si),2185.3
Zr,Lb4,Emission Line,2188.5
Ga,La1,Sum Peak (2x),2195.4
Ga,La2,Sum Peak (2x),2195.4
Zr,Lb3,Emission Line,2202.2
Zn,Lb4,Sum Peak (2x),2209.6
Zn,Lb3,Sum Peak (2x),2215.2
