Element;Line;Type;Energy
As;L?3;Emission Line;1385.8
Fe;L?1;Sum Peak (2x);1409.6
Fe;L?2;Sum Peak (2x);1409.6
Se;L?1;Emission Line;1418.8
Cd;L?2;Escape Peak (Si);1426.1
Cd;L?1;Escape Peak (Si);1432.8
Fe;L?1;Sum Peak (2x);1435.8
Al;K?3;Emission Line;1441.2
Mn;L?4;Sum Peak (2x);1443.8
Mn;L?3;Sum Peak (2x);1443.8
Ag;L?1;Escape Peak (Si);1450
Br;L?2;Emission Line;1480
Br;L?1;Emission Line;1481
Se;L?4;Emission Line;1485.5
Al;K?2;Emission Line;1486.1
Al;K?1;Emission Line;1486.5
Ar;K?3;Escape Peak (Si);1490
Ar;K?1;Escape Peak (Si);1490.2
Se;L?3;Emission Line;1491.3
Ag;L?4;Escape Peak (Si);1502.2
Br;L?1;Emission Line;1526
K;K?3;Escape Peak (Si);1529.8
Ag;L?3;Escape Peak (Si);1533
Co;L?1;Sum Peak (2x);1550.2
Co;L?2;Sum Peak (2x);1550.2
Al;K?1;Emission Line;1557
Al;K?3;Emission Line;1557
In;L?2;Escape Peak (Si);1578.6
Co;L?1;Sum Peak (2x);1580.4
Kr;L?2;Emission Line;1583.4
Fe;L?4;Sum Peak (2x);1583.8
Fe;L?3;Sum Peak (2x);1583.8
Kr;L?1;Emission Line;1584.6
In;L?1;Escape Peak (Si);1586.1
Br;L?4;Emission Line;1593
Br;L?3;Emission Line;1600
K;K?2;Escape Peak (Si);1611.1
K;K?1;Escape Peak (Si);1613.8
Cd;L?1;Escape Peak (Si);1615.1
Kr;L?1;Emission Line;1635.9
Ne;K?3;Sum Peak (2x);1643.4
Cd;L?4;Escape Peak (Si);1665.4
Si;K?3;Emission Line;1689.3
Rb;L?2;Emission Line;1691
Rb;L?1;Emission Line;1692
Ne;K?2;Sum Peak (2x);1697
Ne;K?1;Sum Peak (2x);1697.2
Ni;L?2;Sum Peak (2x);1697.4
Ni;L?1;Sum Peak (2x);1697.4
Kr;L?4;Emission Line;1698.8
Cd;L?3;Escape Peak (Si);1699.6
Kr;L?3;Emission Line;1706.6
Co;L?3;Sum Peak (2x);1730.4
Ni;L?1;Sum Peak (2x);1732
Co;L?4;Sum Peak (2x);1732.4
Sn;L?2;Escape Peak (Si);1735.8
Si;K?2;Emission Line;1739.2
Si;K?1;Emission Line;1739.8
Sn;L?1;Escape Peak (Si);1744.1
Rb;L?1;Emission Line;1751
In;L?1;Escape Peak (Si);1786.6
Sr;L?2;Emission Line;1804
Sr;L?1;Emission Line;1805.8
Rb;L?4;Emission Line;1816.3
Rb;L?3;Emission Line;1825.9
In;L?4;Escape Peak (Si);1834.8
Si;K?1;Emission Line;1837
Si;K?3;Emission Line;1837
Cu;L?1;Sum Peak (2x);1855.4
Cu;L?2;Sum Peak (2x);1855.4
Sr;L?1;Emission Line;1871
In;L?3;Escape Peak (Si);1872.7
Ni;L?4;Sum Peak (2x);1881.2
Ni;L?3;Sum Peak (2x);1884.8
K;K?3;Escape Peak (Si);1890.1
K;K?1;Escape Peak (Si);1890.1
Sb;L?2;Escape Peak (Si);1894.5
Cu;L?1;Sum Peak (2x);1894.6
Ca;K?3;Escape Peak (Si);1900.1
Sb;L?1;Escape Peak (Si);1903.8
Y;L?2;Emission Line;1922.3
Y;L?1;Emission Line;1924.2
Sr;L?4;Emission Line;1935.7
Sr;L?3;Emission Line;1946
P;K?3;Emission Line;1956.5
Sn;L?1;Escape Peak (Si);1962.8
Ca;K?2;Escape Peak (Si);1988.8
Ca;K?1;Escape Peak (Si);1992.3
Y;L?1;Emission Line;1998.3
Sn;L?4;Escape Peak (Si);2008.5
P;K?2;Emission Line;2009.5
P;K?1;Emission Line;2010.5
Na;K?3;Sum Peak (2x);2014.6
Zn;L?2;Sum Peak (2x);2023.2
Zn;L?1;Sum Peak (2x);2023.4
Cu;L?4;Sum Peak (2x);2038.8
Zr;L?2;Emission Line;2041.9
Cu;L?3;Sum Peak (2x);2043.2
Zr;L?1;Emission Line;2044.2
Sn;L?3;Escape Peak (Si);2050.4
Te;L?2;Escape Peak (Si);2057.6
Y;L?4;Emission Line;2062.4
Te;L?1;Escape Peak (Si);2068
Zn;L?1;Sum Peak (2x);2069.4
Y;L?3;Emission Line;2074.2
Na;K?1;Sum Peak (2x);2080.6
Na;K?2;Sum Peak (2x);2080.8
Zr;L?1;Emission Line;2125.9
P;K?3;Emission Line;2138.5
P;K?1;Emission Line;2139.5
Sb;L?1;Escape Peak (Si);2142.5
Nb;L?2;Emission Line;2166
Nb;L?1;Emission Line;2168.7
Sb;L?4;Escape Peak (Si);2185.3
Zr;L?4;Emission Line;2188.5
Ga;L?1;Sum Peak (2x);2195.4
Ga;L?2;Sum Peak (2x);2195.4
Zr;L?3;Emission Line;2202.2
Zn;L?4;Sum Peak (2x);2209.6
Zn;L?3;Sum Peak (2x);2215.2
I;L?2;Escape Peak (Si);2226.2
Sb;L?3;Escape Peak (Si);2231.6
I;L?1;Escape Peak (Si);2237.7
S;K?3;Emission Line;2241.1
Ga;L?1;Sum Peak (2x);2249
Nb;L?1;Emission Line;2260
Mo;L?2;Emission Line;2288.9
Mo;L?1;Emission Line;2292.1
Sc;K?3;Escape Peak (Si);2294
S;K?2;Emission Line;2308.4
S;K?1;Emission Line;2309.5
Ca;K?3;Escape Peak (Si);2313.1
Ca;K?1;Escape Peak (Si);2313.1
Nb;L?4;Emission Line;2321.9
Te;L?1;Escape Peak (Si);2328.6
Nb;L?3;Emission Line;2337.4
Te;L?4;Escape Peak (Si);2368.2
Ge;L?2;Sum Peak (2x);2374.4
Ge;L?1;Sum Peak (2x);2375.6
Sc;K?2;Escape Peak (Si);2388.4
Ga;L?4;Sum Peak (2x);2391
Sc;K?1;Escape Peak (Si);2393.3
Mo;L?1;Emission Line;2393.9
Xe;L?2;Escape Peak (Si);2397
Ga;L?3;Sum Peak (2x);2398
Xe;L?1;Escape Peak (Si);2409.6
Te;L?3;Escape Peak (Si);2418.2
Tc;L?2;Emission Line;2419.4
Tc;L?1;Emission Line;2423.1
Mg;K?3;Sum Peak (2x);2428.8
Ge;L?1;Sum Peak (2x);2436.6
Mo;L?4;Emission Line;2454.4
S;K?3;Emission Line;2464
S;K?1;Emission Line;2465
Mo;L?3;Emission Line;2472
Mg;K?2;Sum Peak (2x);2506.8
Mg;K?1;Sum Peak (2x);2507.58
I;L?1;Escape Peak (Si);2521.2
Tc;L?1;Emission Line;2535.4
Cl;K?3;Emission Line;2552
Ru;L?2;Emission Line;2553.8
I;L?4;Escape Peak (Si);2557
Ru;L?1;Emission Line;2558
As;L?2;Sum Peak (2x);2563.8
As;L?1;Sum Peak (2x);2563.8
Cs;L?2;Escape Peak (Si);2571.5
Ge;L?4;Sum Peak (2x);2579.4
Cs;L?1;Escape Peak (Si);2585.4
Ge;L?3;Sum Peak (2x);2587.6
Tc;L?4;Emission Line;2595.4
Mg;K?3;Sum Peak (2x);2604
Mg;K?1;Sum Peak (2x);2604
I;L?3;Escape Peak (Si);2613
Cl;K?2;Emission Line;2620
Cl;K?1;Emission Line;2622
Tc;L?3;Emission Line;2625.3
As;L?1;Sum Peak (2x);2634.8
Ru;L?1;Emission Line;2682.8
Rh;L?2;Emission Line;2692.1
Rh;L?1;Emission Line;2696.8
Ti;K?3;Escape Peak (Si);2705.1
Xe;L?1;Escape Peak (Si);2718
Ru;L?4;Emission Line;2740.7
Xe;L?4;Escape Peak (Si);2750.9
Ba;L?2;Escape Peak (Si);2751.3
Se;L?2;Sum Peak (2x);2756.8
Se;L?1;Sum Peak (2x);2758.6
As;L?4;Sum Peak (2x);2761.6
Ru;L?3;Emission Line;2762.5
Sc;K?1;Escape Peak (Si);2763.7
Sc;K?3;Escape Peak (Si);2763.7
Ba;L?1;Escape Peak (Si);2766.5
As;L?3;Sum Peak (2x);2771.6
Ti;K?2;Escape Peak (Si);2805.8
Cl;K?3;Emission Line;2812
Cl;K?1;Emission Line;2812
Ti;K?1;Escape Peak (Si);2812.2
Xe;L?3;Escape Peak (Si);2812.4
Pd;L?2;Emission Line;2832.5
Rh;L?1;Emission Line;2834.1
Se;L?1;Sum Peak (2x);2837.6
Pd;L?1;Emission Line;2837.8
Ar;K?3;Emission Line;2879.6
Al;K?3;Sum Peak (2x);2882.4
Rh;L?4;Emission Line;2890.7
Rh;L?3;Emission Line;2915.5
Cs;L?1;Escape Peak (Si);2918.5
La;L?2;Escape Peak (Si);2930
Cs;L?4;Escape Peak (Si);2943
La;L?1;Escape Peak (Si);2947
Ar;K?2;Emission Line;2955.3
Ar;K?1;Emission Line;2957.5
Br;L?2;Sum Peak (2x);2960
Br;L?1;Sum Peak (2x);2962
Se;L?4;Sum Peak (2x);2971
Al;K?2;Sum Peak (2x);2972.2
Al;K?1;Sum Peak (2x);2973
Ag;L?2;Emission Line;2977
