Element,Line,Type,Energy
Ca,Ln,Sum Peak (2x),610.8
Nb,Lb6,Escape Peak (Si),614.5999999999999
Fe,Ll,Emission Line,615.5
I,Ma,Emission Line,619.3
Ag,Mz,Sum Peak (2x),620.6
Ar,Lb4,Sum Peak (2x),620.8
Ar,Lb3,Sum Peak (2x),621.2
Nb,Lb4,Escape Peak (Si),621.9000000000001
Th,Mz,Escape Peak (Si),623.0
Fe,Ln,Emission Line,628.6
Pt,Mg,Escape Peak (Si),630.4000000000001
I,Mb,Emission Line,630.8
Mn,La2,Emission Line,636.7
Mn,La1,Emission Line,636.7
Nb,Lb3,Escape Peak (Si),637.4000000000001
Pb,Ma,Escape Peak (Si),642.3000000000002
La,Mz,Emission Line,647.2
Mn,Lb1,Emission Line,647.9
In,Mg,Emission Line,648.4
Y,Lg2,Escape Peak (Si),648.5999999999999
Y,Lg3,Escape Peak (Si),649.9000000000001
F,Ka3,Emission Line,651.7
Cr,Lb4,Emission Line,653.8
Cr,Lb3,Emission Line,653.8
Tl,Mb,Escape Peak (Si),662.8000000000002
Rh,Ll,Escape Peak (Si),675.9000000000001
Xe,Ma,Emission Line,676.4
F,Ka2,Emission Line,676.8
F,Ka1,Emission Line,676.8
Co,Ll,Emission Line,677.1
Ce,Mz,Emission Line,679.2
Ru,Ln,Escape Peak (Si),680.9000000000001
Pa,Mz,Escape Peak (Si),687.0
Xe,Mb,Emission Line,689.0
Sn,Mg,Emission Line,690.7
Co,Ln,Emission Line,692.2
Mo,Lb1,Escape Peak (Si),693.9000000000001
Sc,Ll,Sum Peak (2x),695.2
Cd,Mz,Sum Peak (2x),696.0
Fe,La1,Emission Line,704.8
Fe,La2,Emission Line,704.8
Sc,Ln,Sum Peak (2x),705.0
Au,Mg,Escape Peak (Si),707.9000000000001
Pr,Mz,Emission Line,712.0
Bi,Ma,Escape Peak (Si),717.6999999999998
Fe,Lb1,Emission Line,717.9
Tc,La2,Escape Peak (Si),719.4000000000001
K,Lb4,Sum Peak (2x),720.6
K,Lb3,Sum Peak (2x),720.6
Mn,Lb3,Emission Line,721.9
Mn,Lb4,Emission Line,721.9
Tc,La1,Escape Peak (Si),723.0999999999999
Cs,Ma,Emission Line,726.6
Sb,Mg,Emission Line,734.3
Cs,Mb,Emission Line,740.5
Ni,Ll,Emission Line,741.9
Pb,Mb,Escape Peak (Si),744.3000000000002
N,Ka3,Sum Peak (2x),745.2
Mo,Lb4,Escape Peak (Si),754.4000000000001
In,Mz,Sum Peak (2x),755.8
Mo,Lb6,Escape Peak (Si),756.8000000000002
U,Mz,Escape Peak (Si),757.0
Ni,Ln,Emission Line,759.2
Nd,Mz,Emission Line,760.0
S,Kb3,Escape Peak (Si),764.0
S,Kb1,Escape Peak (Si),765.0
Mo,Lb3,Escape Peak (Si),772.0
Co,La2,Emission Line,775.1
Co,La1,Emission Line,775.1
Te,Mg,Emission Line,780.4
Ba,Ma,Emission Line,780.5
N,Ka2,Sum Peak (2x),784.8
N,Ka1,Sum Peak (2x),784.8
Hg,Mg,Escape Peak (Si),788.1999999999998
Ti,Ll,Sum Peak (2x),790.2
Co,Lb1,Emission Line,790.2
Fe,Lb4,Emission Line,791.9
Fe,Lb3,Emission Line,791.9
Ba,Mb,Emission Line,795.7
Po,Ma,Escape Peak (Si),799.0
Pd,Ll,Escape Peak (Si),801.4000000000001
Ti,Ln,Sum Peak (2x),803.0
Zr,Lg2,Escape Peak (Si),803.5
Zr,Lg3,Escape Peak (Si),804.9000000000001
Pm,Mz,Emission Line,810.0
Cu,Ll,Emission Line,810.2
Rh,Ln,Escape Peak (Si),817.9000000000001
Sn,Mz,Sum Peak (2x),819.2
Np,Mz,Escape Peak (Si),821.0
Ne,Ka3,Emission Line,821.7
Bi,Mb,Escape Peak (Si),825.6999999999998
Ca,Lb4,Sum Peak (2x),826.0
Ca,Lb3,Sum Peak (2x),826.0
I,Mg,Emission Line,826.1
Cu,Ln,Emission Line,829.8
Tc,Lb1,Escape Peak (Si),835.4000000000001
La,Ma,Emission Line,836.0
Sm,Mz,Emission Line,845.3
Ne,Ka2,Emission Line,848.5
Ne,Ka1,Emission Line,848.6
Ni,La1,Emission Line,848.7
Ni,La2,Emission Line,848.7
Cl,Ka3,Escape Peak (Si),852.0
La,Mb,Emission Line,853.0
Ru,La2,Escape Peak (Si),853.8000000000002
Ru,La1,Escape Peak (Si),858.0
Co,Lb3,Emission Line,865.2
Ni,Lb1,Emission Line,866.0
Co,Lb4,Emission Line,866.2
Tl,Mg,Escape Peak (Si),872.0
Xe,Mg,Emission Line,873.1
Eu,Mz,Emission Line,874.6
At,Ma,Escape Peak (Si),877.0
Zn,Ll,Emission Line,882.0
Ce,Ma,Emission Line,883.7
Sb,Mz,Sum Peak (2x),883.8
Pu,Mz,Escape Peak (Si),890.0
V,Ll,Sum Peak (2x),891.6
Tc,Lb4,Escape Peak (Si),895.4000000000001
Ce,Mb,Emission Line,902.3
Ti,La2,Sum Peak (2x),903.6
Ti,La1,Sum Peak (2x),903.6
Zn,Ln,Emission Line,905.1
V,Ln,Sum Peak (2x),907.0
Tc,Lb6,Escape Peak (Si),907.5
Po,Mb,Escape Peak (Si),914.0
Ti,Lb1,Sum Peak (2x),916.4
Cl,Ka2,Escape Peak (Si),920.0
Cl,Ka1,Escape Peak (Si),922.0
Tc,Lb3,Escape Peak (Si),925.3000000000002
Cs,Mg,Emission Line,925.5
Pr,Ma,Emission Line,926.8
Cu,La2,Emission Line,927.7
Cu,La1,Emission Line,927.7
Ag,Ll,Escape Peak (Si),932.0
Gd,Mz,Emission Line,935.9
Sc,Lb3,Sum Peak (2x),939.4
Sc,Lb4,Sum Peak (2x),939.4
Ni,Lb4,Emission Line,940.6
Ni,Lb3,Emission Line,942.4
Pr,Mb,Emission Line,946.3
Cu,Lb1,Emission Line,947.3
Pb,Mg,Escape Peak (Si),953.8000000000002
Rn,Ma,Escape Peak (Si),954.0
Tb,Mz,Emission Line,954.5
Ga,Ll,Emission Line,956.89
Am,Mz,Escape Peak (Si),958.0
Pd,Ln,Escape Peak (Si),958.4000000000001
Te,Mz,Sum Peak (2x),960.2
Nb,Lg2,Escape Peak (Si),965.4000000000001
Nb,Lg3,Escape Peak (Si),967.1999999999998
Ba,Mg,Emission Line,973.1
Nd,Ma,Emission Line,978.9
Ru,Lb1,Escape Peak (Si),982.8000000000002
Ga,Ln,Emission Line,983.69
Rh,Mg,Sum Peak (2x),989.0
Rh,La2,Escape Peak (Si),992.0999999999999
Rh,La1,Escape Peak (Si),996.8000000000002
At,Mb,Escape Peak (Si),999.0
Dy,Mz,Emission Line,999.5
Cr,Ll,Sum Peak (2x),1000.0
Nd,Mb,Emission Line,1001.8
O,Ka3,Sum Peak (2x),1003.0
Na,Ka3,Emission Line,1007.3
Zn,La2,Emission Line,1011.6
Zn,La1,Emission Line,1011.7
I,Mz,Sum Peak (2x),1015.6
Cr,Ln,Sum Peak (2x),1019.4
Cu,Lb4,Emission Line,1019.4
V,La2,Sum Peak (2x),1020.2
V,La1,Sum Peak (2x),1020.2
Cu,Lb3,Emission Line,1021.6
Pm,Ma,Emission Line,1023.0
La,Mg,Emission Line,1025.5
Cm,Mz,Escape Peak (Si),1026.0
Fr,Ma,Escape Peak (Si),1032.0
Zn,Lb1,Emission Line,1034.7
V,Lb1,Sum Peak (2x),1035.6
Ge,Ll,Emission Line,1036.9
Bi,Mg,Escape Peak (Si),1036.9
Na,Ka1,Emission Line,1040.3
Na,Ka2,Emission Line,1040.4
Ru,Lb4,Escape Peak (Si),1040.6999999999998
Pm,Mb,Emission Line,1048.0
Ho,Mz,Emission Line,1048.5
O,Ka2,Sum Peak (2x),1049.8
O,Ka1,Sum Peak (2x),1049.8
Sb,Ma,Sum Peak (2x),1056.4
Ti,Lb4,Sum Peak (2x),1056.6
Ti,Lb3,Sum Peak (2x),1056.6
Pd,Mg,Sum Peak (2x),1060.6
Ru,Lb3,Escape Peak (Si),1062.5
Ru,Lb6,Escape Peak (Si),1063.0
Cd,Ll,Escape Peak (Si),1066.0
Ge,Ln,Emission Line,1068.0
Sb,Mb,Sum Peak (2x),1075.0
Ce,Mg,Emission Line,1078.0
Sm,Ma,Emission Line,1078.2
Rn,Mb,Escape Peak (Si),1084.0
Xe,Mz,Sum Peak (2x),1084.6
Er,Mz,Emission Line,1086.8
Bk,Mz,Escape Peak (Si),1095.0
Ga,La2,Emission Line,1097.7
Ga,La1,Emission Line,1097.7
Zn,Lb4,Emission Line,1104.8
Ag,Ln,Escape Peak (Si),1105.0
Sm,Mb,Emission Line,1105.7
Ra,Ma,Escape Peak (Si),1106.0
Zn,Lb3,Emission Line,1107.6
Cl,Kb3,Escape Peak (Si),1112.0
Cl,Kb1,Escape Peak (Si),1112.0
Mn,Ll,Sum Peak (2x),1112.8
As,Ll,Emission Line,1118.9
Eu,Ma,Emission Line,1121.5
Ga,Lb1,Emission Line,1124.5
Pr,Mg,Emission Line,1126.9
Mo,Lg2,Escape Peak (Si),1128.4
Po,Mg,Escape Peak (Si),1129.0
Tm,Mz,Emission Line,1129.1
Mo,Lg3,Escape Peak (Si),1130.5
Pd,La2,Escape Peak (Si),1132.5
Rh,Lb1,Escape Peak (Si),1134.1
Mn,Ln,Sum Peak (2x),1135.2
Cs,Mz,Sum Peak (2x),1136.2
Pd,La1,Escape Peak (Si),1137.8000000000002
Ag,Mg,Sum Peak (2x),1138.0
Cr,La2,Sum Peak (2x),1144.2
Cr,La1,Sum Peak (2x),1144.2
Te,Ma,Sum Peak (2x),1146.0
Eu,Mb,Emission Line,1152.6
As,Ln,Emission Line,1154.4
Cr,Lb1,Sum Peak (2x),1163.6
Cf,Mz,Escape Peak (Si),1164.0
Te,Mb,Sum Peak (2x),1166.8
Fr,Mb,Escape Peak (Si),1168.0
Nd,Mg,Emission Line,1176.5
V,Lb3,Sum Peak (2x),1179.0
V,Lb4,Sum Peak (2x),1179.0
Ar,Ka3,Escape Peak (Si),1179.6
Gd,Ma,Emission Line,1181.0
Ge,La2,Emission Line,1187.2
Yb,Mz,Emission Line,1187.3
Ge,La1,Emission Line,1187.8
Rh,Lb4,Escape Peak (Si),1190.6999999999998
Zn,Lg2,Emission Line,1195.2
Ga,Lb4,Emission Line,1195.5
Ga,Lb3,Emission Line,1199.0
Ac,Ma,Escape Peak (Si),1200.0
In,Ll,Escape Peak (Si),1202.8000000000002
Se,Ll,Emission Line,1204.3
Ba,Mz,Sum Peak (2x),1207.4
Ge,Lb6,Emission Line,1212.0
Gd,Mb,Emission Line,1213.3
Mg,Ka3,Emission Line,1214.4
Cd,Mg,Sum Peak (2x),1215.4
Rh,Lb3,Escape Peak (Si),1215.5
Ge,Lb1,Emission Line,1218.3
At,Mg,Escape Peak (Si),1219.0
Rh,Lb6,Escape Peak (Si),1222.6
Lu,Mz,Emission Line,1226.6
Fe,Ll,Sum Peak (2x),1231.0
Tb,Ma,Emission Line,1233.4
Pm,Mg,Emission Line,1237.0
I,Ma,Sum Peak (2x),1238.6
Se,Ln,Emission Line,1244.7
Ra,Mb,Escape Peak (Si),1249.0
Mg,Ka2,Emission Line,1253.4
Mg,Ka1,Emission Line,1253.79
Cd,Ln,Escape Peak (Si),1255.0
Ar,Ka2,Escape Peak (Si),1255.3000000000002
Fe,Ln,Sum Peak (2x),1257.2
Ar,Ka1,Escape Peak (Si),1257.5
I,Mb,Sum Peak (2x),1261.6
Tb,Mb,Emission Line,1269.2
Mn,La1,Sum Peak (2x),1273.4
Mn,La2,Sum Peak (2x),1273.4
Ag,La2,Escape Peak (Si),1277.0
Hf,Mz,Emission Line,1277.8
As,La2,Emission Line,1281.9
As,La1,Emission Line,1281.9
Ag,La1,Escape Peak (Si),1282.6999999999998
Dy,Ma,Emission Line,1284.0
Pd,Lb1,Escape Peak (Si),1289.5
Th,Ma,Escape Peak (Si),1289.6
Ge,Lb4,Emission Line,1289.7
Sm,Mg,Emission Line,1290.8
Br,Ll,Emission Line,1293.0
Ge,Lb3,Emission Line,1293.8
La,Mz,Sum Peak (2x),1294.4
Mn,Lb1,Sum Peak (2x),1295.8
In,Mg,Sum Peak (2x),1296.8
Ga,Lg2,Emission Line,1297.0
Ga,Lg3,Emission Line,1297.0
Rn,Mg,Escape Peak (Si),1297.0
Tc,Lg2,Escape Peak (Si),1300.6999999999998
Mg,Kb1,Emission Line,1302.0
Rh,"Lb2,15",Escape Peak (Si),1302.0
Mg,Kb3,Emission Line,1302.0
Tc,Lg3,Escape Peak (Si),1303.1
F,Ka3,Sum Peak (2x),1303.4
Cr,Lb4,Sum Peak (2x),1307.6
Cr,Lb3,Sum Peak (2x),1307.6
As,Lb6,Emission Line,1315.6
As,Lb1,Emission Line,1317.4
Dy,Mb,Emission Line,1325.0
Ta,Mz,Emission Line,1329.6
Br,Ln,Emission Line,1339.0
Ho,Ma,Emission Line,1342.4
Pd,Lb4,Escape Peak (Si),1344.1
Sn,Ll,Escape Peak (Si),1344.3000000000002
Ac,Mb,Escape Peak (Si),1351.0
Xe,Ma,Sum Peak (2x),1352.8
Eu,Mg,Emission Line,1353.3
F,Ka1,Sum Peak (2x),1353.6
F,Ka2,Sum Peak (2x),1353.6
Co,Ll,Sum Peak (2x),1354.2
Ce,Mz,Sum Peak (2x),1358.4
Pa,Ma,Escape Peak (Si),1371.0
Pd,Lb3,Escape Peak (Si),1371.6999999999998
Xe,Mb,Sum Peak (2x),1378.0
Se,La2,Emission Line,1378.4
Se,La1,Emission Line,1379.3
As,Lb4,Emission Line,1380.8
Sn,Mg,Sum Peak (2x),1381.4
W,Mz,Emission Line,1381.6
Ho,Mb,Emission Line,1383.4
Co,Ln,Sum Peak (2x),1384.4
Kr,Ll,Emission Line,1385.6
As,Lb3,Emission Line,1385.8
Pd,Lb6,Escape Peak (Si),1385.9
Fr,Mg,Escape Peak (Si),1386.0
Gd,Mg,Emission Line,1401.4
Er,Ma,Emission Line,1404.3
Fe,La2,Sum Peak (2x),1409.6
